,zip_code,sa1,sa2,closing_date,list_price,sold_price,prop_type,year_built,sq_ft,bedrooms,bathrooms,sub_div,sub_area,taxes,school_district,garage_spaces,parking_spaces,basement,hoa_fees,financial_terms
967,80016,17482 E Euclid Avenue,"Aurora, CO 80016","Jul 13, 2018","$660,000","$660,000",Single Family Residential,2003,4956,5,4,Hillcrest At The Farm,Hillcrest At The Farm,"$5,170",Cherry Creek 5,4,4,"Interior Entry, Partial, Bath/Stubbed, Unfinished",$45,Conventional
968,80016,23291 E Rockinghorse Parkway,"Aurora, CO 80016","Jul 12, 2018","$688,640","$660,000",Single Family Residential,2017,5252,3,4,Inspiration,Inspiration,"$8,111",Douglas RE-1,3,3,"Interior Entry, Partial, Bath/Stubbed, Unfinished, Sump Pump",$84,Conventional
969,80016,6189 S Oak Hill Way,"Aurora, CO 80016","May 15, 2018","$650,000","$660,000",Single Family Residential,2011,4886,5,6,Beacon Point,Beacon Point,"$5,352",Cherry Creek 5,3,3,"Full, Finished, Interior Entry",$140,Conventional
970,80016,19406 E Maplewood Place,"Aurora, CO 80016","Jul 13, 2018","$660,000","$660,000",Single Family Residential,2001,4829,4,4,Sienna,Sienna,"$4,266",Cherry Creek 5,3,3,"Full, Interior Entry, Bath/Stubbed, Unfinished, Sump Pump",$87,Cash
971,80016,25070 E Indore Place,"Aurora, CO 80016","Mar 06, 2020","$659,999","$659,999",Single Family Residential,2006,4995,6,6,Tallyns Reach,Tallyns Reach,"$6,193",Cherry Creek 5,2,2,"Finished, Interior Entry, Partial",$186,VA
972,80016,23251 E Rockinghorse Parkway,"Aurora, CO 80016","Jan 31, 2019","$659,999","$659,999",Single Family Residential,2018,5143,3,4,Inspiration,Inspiration,"$7,160",Douglas RE-1,3,3,"Exterior Entry, Interior Entry, Partial, Bath/Stubbed, Unfinished, Heated, Sump Pump",$84,Conventional
973,80016,5922 S Jamestown Court,"Aurora, CO 80016","Aug 04, 2020","$659,950","$659,950",Single Family Residential,2016,5296,5,4,Wheatlands Sub 7th Flg,Wheatlands Sub 7th Flg,"$6,197",Cherry Creek 5,3,3,"Full, Bath/Stubbed, Unfinished",$65,Conventional
974,80016,24681 E Park Crescent Drive,"Aurora, CO 80016","Mar 02, 2020","$659,000","$659,000",Single Family Residential,2000,4901,4,5,Tallyns Reach,Tallyns Reach,"$5,414",Cherry Creek 5,3,3,"Finished, Partial, Bath/Stubbed, Walk-Out Access",$185,Conventional
975,80016,20788 E Maplewood Lane,"Centennial, CO 80016","Jan 24, 2020","$669,000","$659,000",Single Family Residential,1999,5113,5,6,Greenfield,Greenfield,"$5,345",Cherry Creek 5,3,3,"Exterior Entry, Full, Finished, Walk-Out Access",$65,Conventional
976,80016,25865 E Dry Creek Place,"Aurora, CO 80016","Feb 19, 2021","$665,950","$658,900",Single Family Residential,2008,5002,5,4,Tallyns Reach,Tallyns Reach,"$5,619",Cherry Creek 5,3,3,"Full, Finished",$200,Conventional
