,zip_code,sa1,sa2,closing_date,list_price,sold_price,prop_type,year_built,sq_ft,bedrooms,bathrooms,sub_div,sub_area,taxes,school_district,garage_spaces,parking_spaces,basement,hoa_fees,financial_terms
0,80005,9505 Alkire Street,"Arvada, CO 80005","Mar 19, 2021","$2,500,000","$2,250,000",Single Family Residential,2018,5555,5,7,Cameo Estates,Cameo Estates,"$5,569",Jefferson County R-1,,,,,Conventional
1,80005,12896 W 81st Place,"Arvada, CO 80005","Jan 29, 2021","$1,399,000","$1,385,000",Single Family Residential,2007,7172,7,5,Alkire Estates,Alkire Estates,"$7,603",Jefferson County R-1,4,4,"Exterior Entry, Full, Finished, Interior Entry, Walk-Out Access",$150,Conventional
2,80005,12823 W 80th Place,"Arvada, CO 80005","Jan 04, 2021","$1,365,000","$1,300,000",Single Family Residential,2006,6749,5,6,Alkire Estates,Alkire Estates,"$6,807",Jefferson County R-1,4,4,"Finished, Interior Entry",$150,Conventional
3,80005,13963 W 76th Lane,"Arvada, CO 80005","Apr 22, 2020","$1,280,000","$1,282,000",Single Family Residential,2014,6288,6,5,Eagleview,Eagleview,"$6,174",Jefferson County R-1,4,4,"Full, Sump Pump",$60,Conventional
4,80005,12832 W 80th Place,"Arvada, CO 80005","Apr 15, 2021","$1,100,000","$1,228,000",Single Family Residential,2007,6658,5,7,Alkire Estates,Alkire Estates,"$6,265",Jefferson County R-1,4,4,"Full, Finished, Sump Pump",$150,Conventional
5,80005,12933 W 80th Place,"Arvada, CO 80005","Jun 11, 2020","$1,269,900","$1,225,000",Single Family Residential,2005,5955,5,5,Alkire Estates,Alkire Estates,"$6,771",Jefferson County R-1,3,3,"Finished, Sump Pump",$150,Conventional
6,80005,13051 W 79th Place,"Arvada, CO 80005","Jan 22, 2019","$1,250,000","$1,155,000",Single Family Residential,2001,4834,4,5,Worster,Worster,"$5,275",Jefferson County R-1,3,3,"Partial, Sump Pump, Walk-Out Access",,
7,80005,13051 W 79th Place,"Arvada, CO 80005","Jan 22, 2019","$1,250,000","$1,155,000",Single Family Residential,2001,4834,4,5,Arvada,Arvada,"$5,275",Jefferson County R-1,3,3,"Exterior Entry, Finished, Interior Entry, Partial, Sump Pump, Walk-Out Access, Heated",,Conventional
8,80005,12996 W 81st Place,"Arvada, CO 80005","May 07, 2020","$1,275,000","$1,150,000",Single Family Residential,2005,4934,3,5,Alkire Estates,Alkire Estates,"$6,622",Jefferson County R-1,7,7,Full,$150,"Cash, Conventional, VA"
9,80005,12996 W 81st Place,"Arvada, CO 80005","May 07, 2020","$1,275,000","$1,150,000",Single Family Residential,2005,4934,3,5,Alkire Estates,Alkire Estates,"$6,482",Jefferson County R-1,7,7,"Exterior Entry, Full, Finished, Interior Entry, Walk-Out Access",$150,Cash
10,80005,13777 W 76th Place,"Arvada, CO 80005","Apr 11, 2019","$1,150,000","$1,125,000",Single Family Residential,2007,5576,5,6,Eagleview Estates,Eagleview Estates,"$6,558",Jefferson County R-1,4,4,"Exterior Entry, Full, Finished, Walk-Out Access, Heated",$45,Conventional
11,80005,13004 W 81st Avenue,"Arvada, CO 80005","Jul 16, 2020","$1,230,000","$1,120,000",Single Family Residential,2004,5657,5,4,Alkire Estates,Alkire Estates,"$6,926",Jefferson County R-1,4,4,"Finished, Partial, Walk-Out Access",$150,Conventional
12,80005,8370 Simms Street,"Arvada, CO 80005","May 31, 2019","$1,100,000","$1,100,000",Single Family Residential,1980,4441,4,4,Arvada,Arvada,"$4,097",Jefferson County R-1,3,3,"Partial, Bath/Stubbed, Sump Pump, Walk-Out Access",,"Cash, Conventional, FHA, VA"
13,80005,8060 Queen Street,"Arvada, CO 80005","Jun 24, 2019","$1,100,000","$1,100,000",Single Family Residential,1968,4569,5,4,Churchill Downs,Churchill Downs,"$3,554",Jefferson County R-1,3,3,"Interior Entry, Partial, Unfinished",$150,Conventional
14,80005,8370 Simms Street,"Arvada, CO 80005","May 31, 2019","$1,100,000","$1,100,000",Single Family Residential,1980,4441,4,5,Arvada,Arvada,"$4,097",Jefferson County R-1,3,3,"Exterior Entry, Interior Entry, Partial, Unfinished, Walk-Out Access, Sump Pump",,Cash
15,80005,13550 W 96th Avenue,"Arvada, CO 80005","May 25, 2018","$1,299,000","$1,089,000",Single Family Residential,1961,6101,3,5,Cameo Estates,Cameo Estates,"$2,121",Jefferson County R-1,2,2,"Crawl Space, Finished, Interior Entry, Partial",,Conventional
16,80005,13757 W 76th Place,"Arvada, CO 80005","Oct 15, 2019","$1,100,000","$1,080,000",Single Family Residential,2006,6771,5,6,Eagle View Estates,Eagle View Estates,"$6,747",Jefferson County R-1,3,3,Sump Pump,$45,"Cash, Conventional, VA"
17,80005,13757 W 76th Place,"Arvada, CO 80005","Oct 15, 2019","$1,100,000","$1,080,000",Single Family Residential,2006,6771,5,6,Eagle View Estates,Eagle View Estates,"$6,747",Jefferson County R-1,3,3,"Exterior Entry, Full, Finished, Interior Entry, Sump Pump, Walk-Out Access, Heated",$45,Conventional
18,80005,13866 W 76th Place,"Arvada, CO 80005","Jun 24, 2019","$1,100,000","$1,080,000",Single Family Residential,2007,5797,4,4,Eagleview Estates,Eagleview Estates,"$6,629",Jefferson County R-1,3,3,"Exterior Entry, Full, Finished, Interior Entry, Walk-Out Access, Heated",$45,Conventional
19,80005,13756 W 76th Place,"Arvada, CO 80005","Nov 19, 2019","$1,095,000","$1,050,000",Single Family Residential,2007,6197,5,5,Eagleview Estates,Eagleview Estates,"$6,899",Jefferson County R-1,4,4,"Full, Finished, Walk-Out Access, Heated, Sump Pump",$45,Conventional
20,80005,8070 Youngfield Street,"Arvada, CO 80005","May 23, 2019","$1,050,000","$1,035,000",Single Family Residential,2004,6848,4,5,Alkire Estates,Alkire Estates,"$5,914",Jefferson County R-1,4,4,"Full, Unfinished",$120,"Cash, Conventional"
21,80005,8070 Youngfield Street,"Arvada, CO 80005","May 23, 2019","$1,050,000","$1,035,000",Single Family Residential,2004,6848,4,5,Alkire Estates,Alkire Estates,"$5,914",Jefferson County R-1,4,4,"Exterior Entry, Full, Interior Entry, Bath/Stubbed, Unfinished, Walk-Out Access",$120,Cash
22,80005,8949 Devinney Court,"Arvada, CO 80005","Feb 08, 2019","$1,100,000","$1,035,000",Single Family Residential,2011,4390,4,4,Whisper Creek,Whisper Creek,"$7,377",Jefferson County R-1,4,4,"Finished, Interior Entry, Partial, Heated",$36,Conventional
23,80005,12340 W 75th Avenue,"Arvada, CO 80005","Dec 09, 2020","$1,049,999","$1,031,000",Single Family Residential,1978,3030,3,2,Arvada West,Arvada West,"$5,779",Jefferson County R-1,4,4,"Full, Finished",,Cash
24,80005,13095 W 81st Avenue,"Arvada, CO 80005","Mar 11, 2021","$995,000","$1,010,000",Single Family Residential,2005,4728,5,5,Aikire Estates,Aikire Estates,"$6,055",Jefferson County R-1,3,3,"Full, Finished, Sump Pump",$150,Conventional
25,80005,8958 Devinney Court,"Arvada, CO 80005","Aug 13, 2020","$995,000","$980,000",Single Family Residential,2011,4555,5,5,Whisper Creek,Whisper Creek,"$8,703",Jefferson County R-1,3,3,"Finished, Walk-Out Access",$72,Conventional
26,80005,7275 Kipling Street,"Arvada, CO 80005","Jul 10, 2018","$950,000","$955,500",Single Family Residential,1958,3640,5,4,Star Acres,Star Acres,"$4,710",Jefferson County R-1,4,4,"Crawl Space, Exterior Entry, None",,Conventional
27,80005,10805 W 73rd Place,"Arvada, CO 80005","Feb 27, 2019","$949,900","$950,000",Single Family Residential,1956,6378,4,4,Star Acres,Star Acres,"$4,763",Jefferson County R-1,3,3,"Finished, Partial, Heated",,Conventional
28,80005,8264 Ward Lane,"Arvada, CO 80005","Feb 27, 2019","$965,000","$915,000",Single Family Residential,2015,4660,4,4,Tucker's Gate,Tucker's Gate,"$5,173",Jefferson County R-1,3,3,"Exterior Entry, Full, Finished, Interior Entry, Walk-Out Access, Heated",,Cash
29,80005,8927 Devinney Street,"Arvada, CO 80005","Oct 16, 2020","$885,000","$910,000",Single Family Residential,2016,4651,4,4,Whisper Creek,Whisper Creek,"$8,127",Jefferson County R-1,4,4,"Crawl Space, Partial, Sump Pump",$32,
30,80005,8927 Devinney Street,"Arvada, CO 80005","Oct 16, 2020","$885,000","$910,000",Single Family Residential,2015,4651,4,4,Whisper Creek,Whisper Creek,"$8,127",Jefferson County R-1,4,4,"Crawl Space, Finished, Bath/Stubbed, Sump Pump",$32,Conventional
