,zip_code,sa1,sa2,closing_date,list_price,sold_price,prop_type,year_built,sq_ft,bedrooms,bathrooms,sub_div,sub_area,taxes,school_district,garage_spaces,parking_spaces,basement,hoa_fees,financial_terms
0,80007,15902 W 64th Avenue,"Arvada, CO 80007","Mar 12, 2021","$2,075,000","$2,075,000",Single Family Residential,2017,6370,5,5,Jefferson County 80007,Jefferson County 80007,"$8,498",Jefferson County R-1,11,11,"Full, Finished",,Cash
1,80007,17476 W 69th Avenue,"Arvada, CO 80007","Jun 29, 2018","$1,899,000","$1,825,000",Single Family Residential,2012,8102,6,8,Trail Village,Trail Village,"$8,054",Jefferson County R-1,4,4,"Full, Finished, Walk-Out Access, Heated, Sump Pump",$70,Cash
2,80007,15421 W 73rd Place,"Arvada, CO 80007","Apr 21, 2021","$1,440,000","$1,475,000",Single Family Residential,1992,5030,6,5,West Wood Estates,West Wood Estates,"$6,076",Jefferson County R-1,3,3,"Full, Walk-Out Access",$185,
3,80007,15421 W 73rd Place,"Arvada, CO 80007","Apr 21, 2021","$1,440,000","$1,475,000",Single Family Residential,1992,5030,6,5,West Wood Estates,West Wood Estates,"$6,076",Jefferson County R-1,3,3,"Finished, Walk-Out Access",$185,Conventional
4,80007,7646 Indiana Street,"Arvada, CO 80007","Apr 30, 2021","$1,400,000","$1,400,000",Single Family Residential,2020,3742,3,4,Cameo Estates,Cameo Estates,"$3,492",Jefferson County R-1,2,2,,,Conventional
5,80007,7354 Nile Street,"Arvada, CO 80007","Jul 21, 2020","$1,398,000","$1,398,000",Single Family Residential,2003,8325,6,6,Beverly Brook Estates,Beverly Brook Estates,"$7,950",Jefferson County R-1,4,4,"Full, Finished, Sump Pump",$75,Conventional
6,80007,9596 Poppy Way,"Arvada, CO 80007","Apr 27, 2021","$1,350,000","$1,350,000",Single Family Residential,2021,6458,5,4,Candelas,Candelas,"$7,511",Jefferson County R-1,3,3,"Unfinished, Walk-Out Access",,Conventional
7,80007,7325 Nile Street,"Arvada, CO 80007","Jul 12, 2018","$1,385,000","$1,350,000",Single Family Residential,2000,7068,5,5,Beverly Brook Estates,Beverly Brook Estates,"$6,730",Jefferson County R-1,4,4,"Full, Finished, Sump Pump",$215,Conventional
8,80007,15351 W 73rd Place,"Arvada, CO 80007","Feb 03, 2021","$1,325,000","$1,325,000",Single Family Residential,1985,7270,4,5,West Woods Estates,West Woods Estates,"$5,871",Jefferson County R-1,3,3,"Finished, Interior Entry",$186,Conventional
9,80007,7574 Russell Court,"Arvada, CO 80007","Apr 29, 2021","$1,425,000","$1,300,000",Single Family Residential,2013,6188,6,6,Spring Mesa,Spring Mesa,"$7,148",Jefferson County R-1,3,3,Finished,$215,Conventional
