,zip_code,sa1,sa2,closing_date,list_price,sold_price,prop_type,year_built,sq_ft,bedrooms,bathrooms,sub_div,sub_area,taxes,school_district,garage_spaces,parking_spaces,basement,hoa_fees,financial_terms
0,80010,1422 Macon Street,"Aurora, CO 80010","Mar 29, 2019","$3,360,000","$3,150,000",Multifamily,1969,20736,,,Aurora,Aurora,"$10,332",Adams-Arapahoe 28J,,,None,,Conventional
1,80010,11948 E 17th Avenue,"Aurora, CO 80010","Jul 09, 2019","$2,175,000","$2,175,000",Multifamily,1971,12750,,,Aurora,Aurora,"$11,468",Adams-Arapahoe 28J,,,None,,Conventional
2,80010,1377 Lansing Street,"Aurora, CO 80010","Feb 11, 2020","$1,650,000","$1,610,000",Multifamily,1955,8696,,,Hoffman Heights,Hoffman Heights,"$3,106",Adams-Arapahoe 28J,,,None,,Conventional
3,80010,1677 Geneva Street,"Aurora, CO 80010","Jul 20, 2018","$1,605,000","$1,525,000",Multifamily,1964,9360,,,Aurora,Aurora,"$7,024",Adams-Arapahoe 28J,,,None,,Conventional
4,80010,1650 Boston Street,"Aurora, CO 80010","Apr 23, 2021","$1,500,000","$1,430,000",Multifamily,1961,10332,,,,,"$16,821",,,,,,Conventional
5,80010,1129 Akron Street,"Aurora, CO 80010","Nov 30, 2020","$1,400,000","$1,400,000",Multifamily,1957,7242,,,,,"$8,182",,,,,,Conventional
6,80010,1990 Beeler Street,"Aurora, CO 80010","Jul 29, 2020","$1,500,000","$1,400,000",Multifamily,1967,9657,,,,,"$11,322",,,,,,Conventional
7,80010,1457 Kenton Street,"Aurora, CO 80010","Sep 24, 2020","$1,350,000","$1,390,000",Multifamily,1951,5390,,,,,"$6,294",,,,,,Conventional
8,80010,1641 Hanover Street,"Aurora, CO 80010","Mar 02, 2021","$1,440,000","$1,390,000",Multifamily,1961,7560,,,,,"$13,443",,,,,,Conventional
9,80010,1666 Clinton Street,"Aurora, CO 80010","Oct 18, 2019","$1,500,000","$1,350,000",Multifamily,1960,9204,,,Del Mar,Del Mar,"$8,265",Adams-Arapahoe 28J,,,None,,Conventional
10,80010,1641-1655 Alton Street,"Aurora, CO 80010","Mar 13, 2020","$1,240,000","$1,260,000",Multifamily,1957,6000,,,Aurora,Aurora,"$6,334",Adams-Arapahoe 28J,,,"Exterior Entry, Interior Entry, Partial, Unfinished",,Conventional
11,80010,1695 Clinton Street,"Aurora, CO 80010","Jul 10, 2018","$1,280,000","$1,250,000",Multifamily,1960,7740,,,Aurora,Aurora,"$7,024",Adams-Arapahoe 28J,,,None,,Conventional
12,80010,1467 Joliet Street,"Aurora, CO 80010","Apr 23, 2019","$1,200,000","$1,200,000",Multifamily,1952,4169,,,North Aurora,North Aurora,"$3,278",Adams-Arapahoe 28J,,,"Partial, Unfinished, Walk-Out Access",,Conventional
13,80010,1610 Boston Street,"Aurora, CO 80010","Oct 22, 2019","$1,280,000","$1,175,000",Multifamily,1970,5472,,,East Colfax,East Colfax,"$6,155",Adams-Arapahoe 28J,,,None,,Conventional
14,80010,1641-1655 Alton Street,"Aurora, CO 80010","Apr 16, 2019","$1,080,000","$1,120,000",Multifamily,1957,6000,,,Aurora,Aurora,"$2,813",Adams-Arapahoe 28J,,,"Partial, Unfinished",,Conventional
15,80010,11910 E 14th Avenue,"Aurora, CO 80010","Feb 26, 2021","$1,050,000","$1,030,000",Multifamily,1959,4438,,,,,"$5,628",,,,,,Conventional
16,80010,1732 Paris Street,"Aurora, CO 80010","Sep 18, 2020","$1,050,000","$1,028,000",Multifamily,1960,4368,,,,,"$5,949",,,,,,Conventional
17,80010,2505 Kenton Street,"Aurora, CO 80010","Jun 03, 2019","$1,069,000","$1,025,000",Multifamily,1961,4480,,,Aurora,Aurora,"$4,783",Adams-Arapahoe 28J,,,None,,Item1031Exchange
18,80010,1734 Paris Street,"Aurora, CO 80010","Oct 30, 2020","$1,050,000","$1,016,000",Multifamily,1960,4368,,,,,"$6,265",,,,,,Conventional
19,80010,1946 Oswego Street,"Aurora, CO 80010","May 24, 2018","$1,035,000","$1,000,000",Multifamily,1949,5324,,,Boston Heights,Boston Heights,"$3,246",Adams-Arapahoe 28J,,,None,,Conventional
20,80010,1391 Lima Street,"Aurora, CO 80010","May 24, 2018","$1,070,000","$980,000",Multifamily,1965,5320,,,Aurora Heights,Aurora Heights,"$2,581",Adams-Arapahoe 28J,,,None,,Conventional
21,80010,1984 Akron Street,"Aurora, CO 80010","Jun 11, 2019","$1,000,000","$975,000",Multifamily,1962,5070,,,Aurora,Aurora,"$4,296",Adams-Arapahoe 28J,,,None,,Conventional
22,80010,1578 Macon Street,"Aurora, CO 80010","Sep 29, 2020","$975,000","$950,000",Multifamily,1964,5320,,,,,"$6,016",,,,,,Conventional
23,80010,1946 Oswego Street,"Aurora, CO 80010","May 16, 2019","$1,080,000","$945,000",Multifamily,1949,5324,,,Northwestern Aurora,Northwestern Aurora,"$3,620",Adams-Arapahoe 28J,,,None,,Conventional
24,80010,1557-1571 Havana Street,"Aurora, CO 80010","Dec 04, 2020","$899,000","$941,000",Multifamily,1953,6220,,,,,"$3,072",,,,,,Conventional
25,80010,2000 Elmira Street,"Aurora, CO 80010","Jun 18, 2019","$969,000","$929,000",Multifamily,1946,4688,,,Aurora,Aurora,"$4,288",Adams-Arapahoe 28J,1,1,None,,Conventional
26,80010,1734 Paris Street,"Aurora, CO 80010","Sep 24, 2019","$960,000","$900,000",Multifamily,1960,4368,,,Del Mar,Del Mar,"$4,236",Adams-Arapahoe 28J,,,None,,Conventional
27,80010,1435 Kingston Street,"Aurora, CO 80010","Sep 26, 2019","$960,000","$900,000",Multifamily,1958,5712,,,Del Mar,Del Mar,"$3,350",Adams-Arapahoe 28J,,,None,,Conventional
28,80010,1732 Paris Street,"Aurora, CO 80010","Sep 24, 2019","$960,000","$900,000",Multifamily,1960,4368,,,Del Mar,Del Mar,"$4,025",Adams-Arapahoe 28J,,,None,,Conventional
29,80010,1733 Paris Street,"Aurora, CO 80010","Sep 24, 2019","$960,000","$900,000",Multifamily,1950,4368,,,Del Mar,Del Mar,"$3,728",Adams-Arapahoe 28J,,,None,,Conventional
30,80010,1950 Beeler Street,"Aurora, CO 80010","Aug 12, 2020","$890,000","$840,000",Multifamily,1955,4660,,,,,"$7,373",,,,,,Conventional
31,80010,11916 E 14th Avenue,"Aurora, CO 80010","Nov 27, 2019","$960,000","$840,000",Multifamily,1960,4508,,,Del Mar,Del Mar,"$4,142",Adams-Arapahoe 28J,,,None,,Conventional
32,80010,12000 E 14th Avenue,"Aurora, CO 80010","Nov 27, 2019","$960,000","$840,000",Multifamily,1960,4508,,,Del Mar,Del Mar,"$4,632",Adams-Arapahoe 28J,,,None,,Conventional
33,80010,1923 Dallas Street,"Aurora, CO 80010","Nov 27, 2019","$960,000","$840,000",Multifamily,1957,3978,,,Del Mar,Del Mar,"$4,271",Adams-Arapahoe 28J,,,"Apartment, None",,Conventional
34,80010,1933 Dallas Street,"Aurora, CO 80010","Nov 27, 2019","$960,000","$840,000",Multifamily,1957,3978,,,N Aurora,N Aurora,"$3,953",Adams-Arapahoe 28J,,,None,,Conventional
35,80010,1769 Clinton Street,"Aurora, CO 80010","Feb 25, 2020","$849,900","$835,000",Multifamily,1952,4056,,,Aurora North,Aurora North,"$3,790",Adams-Arapahoe 28J,4,4,"None, Unfinished",,Cash
36,80010,1725 Chester Street,"Aurora, CO 80010","Sep 14, 2020","$829,000","$769,000",Multifamily,1959,3842,,,,,"$3,056",,,,,,Conventional
37,80010,11242 E Highline Drive,"Aurora, CO 80010","Apr 08, 2019","$750,000","$766,000",Multifamily,1971,4800,,,Aurora,Aurora,"$2,943",Adams-Arapahoe 28J,3,3,"Full, Finished",,Conventional
