,zip_code,sa1,sa2,closing_date,list_price,sold_price,prop_type,year_built,sq_ft,bedrooms,bathrooms,sub_div,sub_area,taxes,school_district,garage_spaces,parking_spaces,basement,hoa_fees,financial_terms
0,80002,8152-8174 W 54th Lane,"Arvada, CO 80002","Feb 28, 2019","$2,100,000","$1,900,000",Multifamily,2008,2300,,,Country Lane Estates Condo,Country Lane Estates Condo,"$11,596",Jefferson County R-1,12,12,"Full, Finished, Walk-Out Access",$188,Seller Financing
1,80002,13750 W 58th Avenue,"Arvada, CO 80002","Jan 08, 2021","$1,450,000","$1,350,000",Single Family Residential,1948,2800,3,2,Fairview Fruit Gardens,Fairview Fruit Gardens,"$5,959",Jefferson County R-1,1,1,"Partial, Walk-Out Access",,Conventional
2,80002,5797 Devinney Court,"Arvada, CO 80002","Jul 17, 2020","$1,300,000","$1,300,000",Single Family Residential,2006,6628,7,5,R Little Ranch,R Little Ranch,"$7,082",Jefferson County R-1,4,4,Full,,Conventional
3,80002,5786 Devinney Court,"Arvada, CO 80002","Dec 21, 2020","$1,265,000","$1,275,000",Single Family Residential,2006,6899,5,4,Candlelight,Candlelight,"$7,103",Jefferson County R-1,4,4,"Full, Walk-Out Access",$150,Conventional
4,80002,14547 W 57th Place,"Arvada, CO 80002","May 14, 2018","$1,135,000","$1,135,000",Single Family Residential,1999,5708,5,6,Candlelight Valley,Candlelight Valley,"$5,223",Jefferson County R-1,4,4,"Full, Finished, Interior Entry, Walk-Out Access, Heated",$465,Conventional
5,80002,5772 Yank Street,"Arvada, CO 80002","Jun 11, 2018","$1,150,000","$1,125,000",Single Family Residential,2006,6471,4,4,Van Bibber Valley Estates,Van Bibber Valley Estates,"$6,719",Jefferson County R-1,4,4,"Daylight, Exterior Entry, Full, Finished",$300,Conventional
6,80002,5662 Yank Street,"Arvada, CO 80002","Oct 18, 2018","$1,195,000","$1,110,000",Single Family Residential,2008,6579,5,5,Van Bibber Valley Estates,Van Bibber Valley Estates,"$6,367",Jefferson County R-1,3,3,"Daylight, Full, Finished",$350,Cash
7,80002,9255 W 57th Avenue,"Arvada, CO 80002","Apr 10, 2020","$1,250,000","$1,100,000",Single Family Residential,1952,2953,3,2,Arvada Plaza,Arvada Plaza,"$3,526",Jefferson County R-1,2,2,"Interior Entry, Partial, Unfinished",,Other
8,80002,13480 W 58th Avenue,"Arvada, CO 80002","Oct 28, 2020","$1,099,900","$1,099,900",Single Family Residential,1984,1781,2,2,Rainy Day Farm,Rainy Day Farm,"$3,921",Jefferson County R-1,2,2,Crawl Space,,
9,80002,13480 W 58th Avenue,"Arvada, CO 80002","Oct 28, 2020","$1,099,900","$1,099,900",Single Family Residential,1984,1781,2,2,Rainy Day Farm,Rainy Day Farm,"$3,921",Jefferson County R-1,2,2,Crawl Space,,Cash
10,80002,13095 W 52nd Avenue,"Arvada, CO 80002","Oct 12, 2020","$900,000","$1,050,000",Single Family Residential,1969,2584,3,3,Metes And Bounds,Metes And Bounds,$899,Jefferson County R-1,2,2,"Partial, Unfinished, Sump Pump",,Cash
