,zip_code,sa1,sa2,closing_date,list_price,sold_price,prop_type,year_built,sq_ft,bedrooms,bathrooms,sub_div,sub_area,taxes,school_district,garage_spaces,parking_spaces,basement,hoa_fees,financial_terms
0,80003,16462 W 95th Lane,"Arvada, CO 80003","Aug 19, 2020","$1,520,000","$1,490,000",Single Family Residential,2018,6458,4,4,Candelas,Candelas,"$8,131",Jefferson County R-1,3,3,"Full, Unfinished, Walk-Out Access",,Conventional
1,80003,7435 W 70th Avenue,"Arvada, CO 80003","Apr 16, 2021","$1,450,000","$1,400,000",Single Family Residential,2015,8387,7,6,Hackberry Estates,Hackberry Estates,"$5,931",Jefferson County R-1,3,3,"Daylight, Exterior Entry, Finished, Bath/Stubbed, Walk-Out Access",,Conventional
2,80003,6614 Stuart Court,"Arvada, CO 80003","Aug 13, 2018","$1,295,000","$1,200,000",Single Family Residential,1962,4192,5,3,Lakeshore,Lakeshore,"$5,081",Westminster Public Schools,2,2,"Finished, None",,Conventional
3,80003,6162 Tennyson Street,"Arvada, CO 80003","Jul 07, 2020","$1,200,000","$1,120,000",Single Family Residential,2003,4856,5,4,Arlington Meadows,Arlington Meadows,"$4,325",Westminster Public Schools,4,4,"Full, Sump Pump",,Conventional
4,80003,5605 W 69th Avenue,"Arvada, CO 80003","Apr 16, 2020","$1,050,000","$1,050,000",Single Family Residential,1963,4100,6,3,1-3-69 12-117912 Ma,1-3-69 12-117912 Ma,,Jefferson County R-1,4,4,None,,"Cash, Conventional, VA"
5,80003,5990 Wadsworth Boulevard,"Arvada, CO 80003","May 23, 2019","$950,000","$945,000",Single Family Residential,1900,9316,7,9,Olde Town Arvada,Olde Town Arvada,"$5,968",Jefferson County R-1,13,13,"Finished, Interior Entry, Partial, Heated",,Conventional
6,80003,6190 Webster Street,"Arvada, CO 80003","Dec 23, 2019","$930,000","$940,000",Multifamily,1968,4160,,,Romans,Romans,"$4,230",Jefferson County R-1,,,None,,Conventional
7,80003,"6057,6059,6061 Jay Street","Arvada, CO 80003","Jan 26, 2021","$940,000","$913,500",Multifamily,1983,3912,,,Hackwell Heights Amd,Hackwell Heights Amd,"$3,600",Jefferson County R-1,,,,,Conventional
8,80003,7130 W 61st Avenue,"Arvada, CO 80003","Oct 22, 2020","$869,900","$880,000",Single Family Residential,1959,3178,3,3,Arvada,Arvada,"$3,045",Jefferson County R-1,3,3,"Crawl Space, Finished, Walk-Out Access",,Conventional
9,80003,6001 Harlan Street,"Arvada, CO 80003","Nov 27, 2019","$880,000","$877,000",Multifamily,1977,4708,,,Brenda Joy 2nd Flg,Brenda Joy 2nd Flg,"$3,243",Jefferson County R-1,,,None,,Cash
