,zip_code,sa1,sa2,closing_date,list_price,sold_price,prop_type,year_built,sq_ft,bedrooms,bathrooms,sub_div,sub_area,taxes,school_district,garage_spaces,parking_spaces,basement,hoa_fees,financial_terms
0,80014,14700 E Jefferson Avenue,"Aurora, CO 80014","Apr 20, 2021","$950,000","$950,000",Single Family Residential,2006,5994,3,4,Meadow Hills Estates,Meadow Hills Estates,"$3,002",Cherry Creek 5,3,3,"Daylight, Full, Interior Entry, Bath/Stubbed, Unfinished",$200,Conventional
1,80014,14709 E Jefferson Avenue,"Aurora, CO 80014","Sep 10, 2020","$849,999","$850,000",Single Family Residential,1981,4012,4,4,Meadow Hills Estate,Meadow Hills Estate,"$2,625",Cherry Creek 5,2,2,,$200,Conventional
2,80014,3816 S Dawson Street,"Aurora, CO 80014","Sep 18, 2020","$849,000","$849,000",Single Family Residential,1983,4558,4,4,Meadow Hills,Meadow Hills,"$3,598",Cherry Creek 5,3,3,"Finished, Partial",$200,Conventional
3,80014,3908 S Dawson Street,"Aurora, CO 80014","Nov 17, 2020","$830,000","$835,000",Single Family Residential,1981,6024,4,3,Meadow Hills,Meadow Hills,"$3,484",Cherry Creek 5,6,6,"Full, Bath/Stubbed, Sump Pump, Unfinished",$200,Conventional
4,80014,3909 S Eagle Street,"Aurora, CO 80014","Sep 17, 2020","$849,730","$830,000",Single Family Residential,1988,4521,4,4,Meadow Hills Estates,Meadow Hills Estates,"$2,526",Cherry Creek 5,3,3,"Exterior Entry, Full, Finished, Walk-Out Access",$200,Conventional
5,80014,4247 S Dearborn Court,"Aurora, CO 80014","Nov 21, 2018","$849,000","$816,000",Single Family Residential,2000,5967,6,5,Bel-Aire Estates,Bel-Aire Estates,"$3,252",Cherry Creek 5,3,3,"Full, Finished, Walk-Out Access",$400,Conventional
6,80014,14582 E Oberlin Place,"Aurora, CO 80014","Aug 29, 2018","$799,000","$799,000",Single Family Residential,2002,6165,5,5,Bel-Aire Estates,Bel-Aire Estates,"$3,857",Cherry Creek 5,3,3,"Exterior Entry, Full, Finished, Walk-Out Access, Heated, Sump Pump",$400,Conventional
7,80014,4248 S Dearborn Court,"Aurora, CO 80014","Jul 28, 2020","$790,000","$775,000",Single Family Residential,2000,6202,5,5,Bel-Aire Estates,Bel-Aire Estates,"$3,533",Cherry Creek 5,2,2,"Full, Finished, Walk-Out Access",$400,Conventional
8,80014,14691 E Hampden Place,"Aurora, CO 80014","Sep 28, 2018","$795,000","$775,000",Single Family Residential,1982,5488,4,4,Meadow Hills,Meadow Hills,"$2,788",Cherry Creek 5,2,2,"Finished, Interior Entry, Partial",$195,Conventional
9,80014,1977 S Kingston Court,"Aurora, CO 80014","Jan 22, 2021","$719,900","$738,500",Single Family Residential,2020,2789,4,4,Kingston Court,Kingston Court,"$2,346",Cherry Creek 5,2,2,Finished,,Conventional
10,80014,2057 S Ironton Court,"Aurora, CO 80014","Jul 17, 2020","$725,000","$720,000",Single Family Residential,2008,4556,5,5,Havana Heights,Havana Heights,"$2,751",Cherry Creek 5,2,2,Finished,,Conventional
11,80014,14870 E Jefferson Avenue,"Aurora, CO 80014","Apr 06, 2020","$725,000","$710,000",Single Family Residential,1997,6092,5,4,Meadow Hills,Meadow Hills,"$3,114",Cherry Creek 5,3,3,"Full, Finished",$200,Conventional
12,80014,4215 S Dawson Street,"Aurora, CO 80014","Aug 12, 2019","$700,000","$700,000",Single Family Residential,2002,5144,4,4,Bel-Aire Estates,Bel-Aire Estates,"$2,593",Cherry Creek 5,3,3,"Daylight, Full, Finished, Heated",$400,Cash
13,80014,1983 S Kenton Court,"Aurora, CO 80014","May 30, 2018","$724,900","$695,000",Single Family Residential,1998,5057,5,4,Rivard Subdivision,Rivard Subdivision,"$3,078",Cherry Creek 5,3,3,"Full, Finished, Bath/Stubbed, Walk-Out Access",,Conventional
14,80014,2090 S Joliet Street,"Aurora, CO 80014","Jul 18, 2018","$700,000","$690,000",Single Family Residential,1994,5028,4,4,Red Fox Commons,Red Fox Commons,"$3,567",Cherry Creek 5,3,3,"Full, Unfinished",$100,Conventional
15,80014,3990 S Eagle Street,"Aurora, CO 80014","Jun 28, 2019","$700,000","$690,000",Single Family Residential,1995,6649,3,4,Meadow Hills,Meadow Hills,"$2,354",Cherry Creek 5,2,2,"Full, Interior Entry, Unfinished",$215,Conventional
16,80014,2155 S Joliet Street,"Aurora, CO 80014","Mar 03, 2020","$697,000","$680,000",Single Family Residential,2005,4492,5,5,Havana Heights,Havana Heights,"$3,251",Cherry Creek 5,3,3,Partial,,VA
17,80014,10993 E Evans Avenue,"Aurora, CO 80014","Sep 05, 2019","$685,000","$670,000",Single Family Residential,1994,4489,4,4,Havana Heights,Havana Heights,"$3,878",Cherry Creek 5,3,3,"Full, Finished, Interior Entry",$100,Conventional
18,80014,3889 S Elkhart Street,"Aurora, CO 80014","Jul 01, 2019","$682,500","$665,000",Single Family Residential,1980,4648,5,4,Meadow Hills,Meadow Hills,"$2,692",Cherry Creek 5,2,2,Partial,$200,"Cash, Conventional, FHA, VA"
19,80014,3889 S Elkhart Street,"Aurora, CO 80014","Jul 01, 2019","$682,500","$665,000",Single Family Residential,1980,4648,5,4,Meadow Hills,Meadow Hills,"$2,692",Cherry Creek 5,2,2,"Partial, Heated",$200,Cash
20,80014,1973 S Kenton Court,"Aurora, CO 80014","Oct 23, 2020","$659,900","$658,400",Single Family Residential,1993,4534,4,4,Havana Heights,Havana Heights,"$2,217",Cherry Creek 5,2,2,Walk-Out Access,,Cash
21,80014,14024 E Hampden Place,"Aurora, CO 80014","Jul 13, 2020","$639,900","$650,000",Single Family Residential,1991,3347,5,4,Meadow Hills,Meadow Hills,"$2,575",Cherry Creek 5,3,3,Daylight,$700,Cash
22,80014,14780 E Kenyon Avenue,"Aurora, CO 80014","Jul 27, 2018","$650,000","$650,000",Single Family Residential,1969,3338,3,3,Meadow Hills,Meadow Hills,"$2,970",Cherry Creek 5,,,"Finished, Interior Entry, Partial",,Conventional
23,80014,14800 E Purdue Place,"Aurora, CO 80014","Dec 09, 2020","$649,000","$649,000",Single Family Residential,2002,5436,4,3,Bel-Aire Estates,Bel-Aire Estates,"$2,631",Cherry Creek 5,3,3,"Full, Unfinished",$400,Conventional
24,80014,2195 S Joliet Street,"Aurora, CO 80014","Sep 15, 2020","$675,000","$642,000",Single Family Residential,2002,4307,5,4,Bethlehem Estates At Havana Heights,Bethlehem Estates At Havana Heights,"$2,813",Cherry Creek 5,3,3,Full,,Conventional
25,80014,2097 S Kenton Court,"Aurora, CO 80014","Nov 25, 2020","$649,900","$640,000",Single Family Residential,1995,4466,5,5,Havana Heights,Havana Heights,"$2,737",Cherry Creek 5,3,3,Finished,,Conventional
26,80014,14703 E Hampden Place,"Aurora, CO 80014","Apr 23, 2021","$625,000","$635,000",Single Family Residential,1983,2808,4,3,Meadow Hills,Meadow Hills,"$1,724",Cherry Creek 5,3,3,Partial,$200,Conventional
27,80014,3462 S Blackhawk Way,"Aurora, CO 80014","Apr 30, 2021","$626,100","$630,000",Single Family Residential,1993,3753,3,4,Churchill,Churchill,"$3,636",Adams-Arapahoe 28J,2,2,Full,$259,Conventional
28,80014,3484 S Cimarron Way,"Aurora, CO 80014","Dec 22, 2020","$674,895","$630,000",Single Family Residential,1983,5229,5,4,Churchill,Churchill,"$2,974",Adams-Arapahoe 28J,3,3,"Full, Finished, Interior Entry",$155,Conventional
29,80014,13809 E Hampden Place,"Aurora, CO 80014","Mar 04, 2021","$565,000","$621,000",Single Family Residential,1991,2916,4,4,Meadow Hills,Meadow Hills,"$2,434",Cherry Creek 5,3,3,"Crawl Space, Finished, Partial",$700,Conventional
30,80014,4046 S Sable,"Aurora, CO 80014","Mar 26, 2021","$620,000","$620,000",Single Family Residential,1993,2996,4,3,The Enclave,The Enclave,"$1,806",Cherry Creek 5,3,3,,$500,Conventional
31,80014,14146 E Hampden Place,"Aurora, CO 80014","Jan 03, 2020","$614,999","$620,000",Single Family Residential,1991,3850,4,5,Meadow Hills,Meadow Hills,"$2,423",Cherry Creek 5,3,3,"Full, Finished, Walk-Out Access, Heated",$700,Conventional
32,80014,12358 E Harvard Drive,"Aurora, CO 80014","Oct 23, 2020","$618,000","$619,000",Single Family Residential,1983,4757,5,4,Ptarmigan Park,Ptarmigan Park,"$2,620",Cherry Creek 5,3,3,"Crawl Space, Full, Finished, Bath/Stubbed",$104,Conventional
33,80014,3902 S Elkhart Street,"Aurora, CO 80014","Jun 17, 2020","$625,000","$605,000",Single Family Residential,1986,3408,4,3,Meadow Hills,Meadow Hills,"$2,246",Cherry Creek 5,2,2,Finished,$200,Conventional
34,80014,13883 E Hampden Place,"Aurora, CO 80014","Mar 05, 2021","$589,800","$601,000",Single Family Residential,1991,3391,5,5,Meadow Hills Country Club,Meadow Hills Country Club,"$2,526",Cherry Creek 5,3,3,"Full, Finished",$700,Conventional
35,80014,11607 E Wesley Avenue,"Aurora, CO 80014","Mar 13, 2019","$599,000","$592,000",Single Family Residential,1982,4012,5,4,Eastridge,Eastridge,"$1,889",Cherry Creek 5,2,2,"Exterior Entry, Full, Finished, Interior Entry",,Conventional
36,80014,2006 S Joliet Court,"Aurora, CO 80014","Mar 05, 2021","$595,000","$590,000",Single Family Residential,1985,3348,5,4,Havana Heights,Havana Heights,"$1,636",Cherry Creek 5,,,"Full, Finished",,Conventional
37,80014,11395 E Vassar Drive,"Aurora, CO 80014","Apr 14, 2021","$530,000","$587,000",Single Family Residential,1972,2328,3,3,Eastridge,Eastridge,"$2,231",Cherry Creek 5,2,2,"Crawl Space, Full, Finished",,Conventional
38,80014,14662 E Oberlin Place,"Aurora, CO 80014","Nov 26, 2018","$649,000","$585,000",Single Family Residential,2000,5287,3,2,Bel-Aire Estates,Bel-Aire Estates,"$3,180",Cherry Creek 5,3,3,Unfinished,$500,"Cash, Conventional"
39,80014,14662 E Oberlin Place,"Aurora, CO 80014","Nov 26, 2018","$649,000","$585,000",Single Family Residential,2000,5287,3,2,Bel-Aire Estates,Bel-Aire Estates,"$3,180",Cherry Creek 5,3,3,"Full, Interior Entry, Unfinished",$500,Conventional
40,80014,2309 S Macon Street,"Aurora, CO 80014","Mar 01, 2021","$575,000","$580,000",Single Family Residential,1968,3136,4,3,Eastridge,Eastridge,"$2,265",Cherry Creek 5,2,2,"Full, Finished, Walk-Out Access",$35,Conventional
41,80014,2047 S Ironton Court,"Aurora, CO 80014","May 31, 2019","$595,000","$580,000",Single Family Residential,1981,5363,4,4,Havana Heights,Havana Heights,"$2,170",Cherry Creek 5,2,2,"Exterior Entry, Full, Finished, Interior Entry, Bath/Stubbed, Walk-Out Access",,Conventional
42,80014,2491 S Oswego Street,"Aurora, CO 80014","Nov 05, 2020","$589,000","$579,500",Single Family Residential,1984,3848,5,5,Berkshire Village,Berkshire Village,"$2,201",Cherry Creek 5,2,2,Partial,$25,Conventional
43,80014,12709 E Vassar Drive,"Aurora, CO 80014","Jul 20, 2018","$599,900","$575,000",Single Family Residential,1979,4583,5,4,Ptarmigan Park,Ptarmigan Park,"$2,366",Cherry Creek 5,2,2,"Full, Finished, Interior Entry, Heated",$95,Conventional
