,zip_code,sa1,sa2,closing_date,list_price,sold_price,prop_type,year_built,sq_ft,bedrooms,bathrooms,sub_div,sub_area,taxes,school_district,garage_spaces,parking_spaces,basement,hoa_fees,financial_terms
0,80012,10845 E Colorado Drive,"Aurora, CO 80012","Feb 17, 2021","$599,000","$614,000",Single Family Residential,1994,3466,4,4,Village Knolls,Village Knolls,"$2,642",Cherry Creek 5,3,3,"Daylight, Finished, Interior Entry, Partial, Bath/Stubbed, Sump Pump",$130,Conventional
1,80012,10806 E Colorado Drive,"Aurora, CO 80012","Mar 05, 2021","$549,900","$600,000",Single Family Residential,1995,3838,3,2,Village Knolls,Village Knolls,"$2,620",Cherry Creek 5,3,3,"Crawl Space, Partial, Bath/Stubbed, Unfinished",$130,Cash
2,80012,12351 E Cedar Circle,"Aurora, CO 80012","Apr 30, 2019","$598,500","$592,500",Single Family Residential,1989,4993,8,5,Windsor Park,Windsor Park,"$3,490",Adams-Arapahoe 28J,2,2,"Full, Finished, Interior Entry, Heated",,Conventional
3,80012,1493 S Kenton Street,"Aurora, CO 80012","Jan 11, 2021","$550,000","$565,000",Single Family Residential,1998,3456,5,4,Village East Sub 13th Flag,Village East Sub 13th Flag,"$2,563",Cherry Creek 5,3,3,Finished,,Seller Financing
4,80012,14469 E Montana Circle,"Aurora, CO 80012","Oct 17, 2018","$572,500","$565,000",Multifamily,1980,3004,,,Hallmark,Hallmark,"$2,052",Adams-Arapahoe 28J,2,2,"Daylight, Interior Entry, Partial, Unfinished, Heated",,Conventional
5,80012,1754 S Oswego Street,"Aurora, CO 80012","Apr 22, 2021","$530,000","$560,000",Single Family Residential,1972,2780,4,3,Hallcrafts Village East,Hallcrafts Village East,"$1,854",Cherry Creek 5,2,2,Finished,,Conventional
6,80012,1836 S Ironton Street,"Aurora, CO 80012","Mar 19, 2021","$525,000","$551,500",Single Family Residential,1994,3439,3,2,Village Knolls,Village Knolls,"$2,271",Cherry Creek 5,2,2,"Full, Unfinished",$130,Conventional
7,80012,12599 E Cedar Avenue,"Aurora, CO 80012","Jun 18, 2020","$545,000","$548,000",Single Family Residential,1979,2960,3,3,Windsor Park,Windsor Park,"$2,843",Adams-Arapahoe 28J,2,2,"Full, Unfinished",,Conventional
8,80012,1758 S Nile Court,"Aurora, CO 80012","Mar 15, 2021","$515,000","$545,000",Single Family Residential,1972,3124,5,3,Village East,Village East,"$2,056",Cherry Creek 5,2,2,Finished,,Conventional
9,80012,10826 E Colorado Drive,"Aurora, CO 80012","Nov 09, 2018","$540,000","$540,000",Single Family Residential,1995,3654,5,4,Village Knolls,Village Knolls,"$2,264",Cherry Creek 5,3,3,"Full, Finished, Interior Entry, Sump Pump",$120,Conventional
10,80012,12477 E Cedar Circle,"Aurora, CO 80012","Aug 06, 2020","$549,999","$530,000",Single Family Residential,1979,3141,4,3,Windsor Park,Windsor Park,"$2,663",Adams-Arapahoe 28J,2,2,"Bath/Stubbed, Unfinished",,"Cash, Conventional, FHA, VA"
11,80012,1412 S Paris Court,"Aurora, CO 80012","Apr 12, 2021","$489,000","$525,000",Single Family Residential,1978,2816,5,3,Hallcrafts Village East 8th Flg,Hallcrafts Village East 8th Flg,"$1,995",Cherry Creek 5,2,2,"Full, Finished",,Conventional
