,zip_code,sa1,sa2,closing_date,list_price,sold_price,prop_type,year_built,sq_ft,bedrooms,bathrooms,sub_div,sub_area,taxes,school_district,garage_spaces,parking_spaces,basement,hoa_fees,financial_terms
0,80011,15500 E 13th Avenue,"Aurora, CO 80011","Nov 15, 2018","$3,600,000","$3,500,000",Multifamily,1972,20088,,,Buena Vista,Buena Vista,"$10,199",Adams-Arapahoe 28J,,,None,,Conventional
1,80011,15500 East 13th Avenue,"Aurora, CO 80011","Oct 16, 2020","$3,500,000","$3,100,000",Multifamily,1972,17064,,,,,"$22,080",,,,,,Conventional
2,80011,2651 Sable Boulevard,"Aurora, CO 80011","Dec 31, 2018","$1,260,000","$1,260,000",Multifamily,2018,5764,,,Central/East-25t,Central/East-25t,"$5,920",Adams-Arapahoe 28J,4,4,"Crawl Space, None",$800,Conventional
3,80011,2691 Sable Boulevard,"Aurora, CO 80011","Dec 31, 2018","$1,260,000","$1,260,000",Multifamily,2018,5764,,,Central/ East-25t,Central/ East-25t,"$5,920",Adams-Arapahoe 28J,4,4,"Crawl Space, None",$800,Conventional
4,80011,14148 E 22nd Place,"Aurora, CO 80011","Jan 13, 2021","$975,000","$910,000",Multifamily,1973,4851,,,Aurora,Aurora,"$5,018",Adams 14,,,,,Cash
5,80011,19600 E Colfax Avenue,"Aurora, CO 80011","Jun 14, 2019","$897,000","$775,000",Single Family Residential,1916,3538,3,1,Thunderbird Estates,Thunderbird Estates,"$3,894",Adams-Arapahoe 28J,,,"Full, Finished",,Cash
6,80011,14168 E 22nd Place,"Aurora, CO 80011","Oct 21, 2020","$700,000","$725,000",Multifamily,1973,4851,,,Sable,Sable,"$4,446",Adams-Arapahoe 28J,,,Finished,,Conventional
7,80011,16497 E 13th,"Aurora, CO 80011","Dec 29, 2020","$695,000","$720,000",Multifamily,1971,3600,,,Laredo,Laredo,"$4,169",Adams-Arapahoe 28J,,,,,FHA
8,80011,14148 E 22nd Place,"Aurora, CO 80011","Sep 10, 2019","$697,500","$697,500",Multifamily,1973,4851,,,Stable Village,Stable Village,"$3,444",Adams 14,1,1,Partial,,Conventional
9,80011,2042 Fairplay Street,"Aurora, CO 80011","Mar 20, 2019","$749,900","$685,000",Single Family Residential,2017,3744,5,4,Twin Ridge,Twin Ridge,"$1,646",Adams-Arapahoe 28J,3,3,"Crawl Space, None",,Conventional
